K,pair_index,spearman
all,47,0.587203302373581
all,48,0.7192982456140351
all,49,0.2961816305469556
all,50,0.541795665634675
all,51,0.1496388028895769
all,52,0.49226006191950467
all,53,0.3085655314757482
all,54,0.1826625386996904
all,55,0.8286893704850361
all,56,0.4633642930856553
all,57,-0.07739938080495357
all,58,0.8693857637664147
all,59,0.7847187416418945
all,60,0.5087719298245614
all,61,0.5067079463364293
all,62,0.6181630546955624
all,63,-0.034055727554179564
all,64,0.4633642930856553
all,65,0.87203302373581
all,66,0.3353973168214654
all,67,0.6181630546955624
all,68,0.5356037151702786
all,69,0.33952528379772956
all,70,0.6800825593395253
all,71,-0.0010319917440660476
all,72,0.3498452012383901
all,73,0.04437564499484004
all,74,0.6945304437564499
all,75,0.3622291021671827
all,76,0.5748194014447885
all,77,0.1455108359133127
all,78,0.4788014377282799
all,79,0.46639189722560304
all,80,0.356774289451958
all,81,0.854922279792746
all,82,0.6566715182666474
all,83,0.3952528379772961
all,84,0.6339701412738463
all,85,0.8846363473479945
all,86,0.013443668877899868
all,87,0.5995872033023736
all,88,-0.500515995872033
all,89,0.07120743034055728
all,90,0.17647058823529413
all,91,0.3065015479876161
all,92,0.2631578947368421
all,93,0.9255448958246447
all,94,0.8345415988050149
all,95,0.8369453044375645
all,96,0.9091847265221877
all,97,0.9380804953560371
all,98,0.6842105263157895
all,99,0.5128998968008256
all,100,0.5665634674922602
all,101,0.4592363261093911
all,102,0.41589267285861714
all,103,0.5789473684210527
all,104,0.38493292053663575
all,105,0.6140350877192982
all,106,0.3415892672858617
