date,price
2019-12-30,92.0
2019-12-31,91.69
2020-01-02,93.06
2020-01-03,93.67
2020-01-06,92.49
2020-01-07,91.1
2020-01-08,90.9
2020-01-09,90.85
2020-01-10,91.21
2020-01-13,91.1
2020-01-14,91.08
2020-01-15,90.66
2020-01-16,93.41
2020-01-17,94.3
2020-01-20,94.58
2020-01-21,94.22
2020-01-22,94.31
2020-01-23,95.2
2020-01-24,94.34
2020-01-27,92.01
2020-01-28,94.17
2020-01-29,95.9
2020-01-30,94.56
2020-01-31,92.62
2020-02-04,94.13
2020-02-05,93.22
2020-02-06,92.07
2020-02-07,91.56
2020-02-10,90.52
2020-02-11,92.7
2020-02-12,97.33
2020-02-13,97.01
2020-02-14,97.03
2020-02-17,96.03
2020-02-18,96.57
2020-02-19,97.47
2020-02-20,96.65
2020-02-21,97.22
2020-02-24,94.4
2020-02-25,91.49
2020-02-26,91.98
2020-02-27,90.06
2020-02-28,89.5
2020-03-02,91.19
2020-03-03,91.95
2020-03-04,95.33
2020-03-05,91.95
2020-03-06,89.87
2020-03-09,82.76
2020-03-10,85.36
2020-03-11,85.99
2020-03-12,78.43
2020-03-13,81.62
2020-03-17,84.13
2020-03-18,83.3
2020-03-19,83.7
2020-03-20,81.35
2020-03-23,78.27
2020-03-24,82.45
2020-03-25,84.58
2020-03-26,83.91
2020-03-27,78.08
2020-03-30,78.78
2020-03-31,78.82
2020-04-01,77.27
2020-04-02,76.73
2020-04-03,74.48
2020-04-06,78.84
2020-04-07,78.99
2020-04-08,77.44
2020-04-13,75.45
2020-04-14,75.74
2020-04-15,73.14
2020-04-16,72.81
2020-04-17,75.04
2020-04-20,74.52
2020-04-21,73.68
2020-04-22,74.26
2020-04-23,74.12
2020-04-24,75.78
2020-04-27,76.28
2020-04-28,77.3
2020-04-29,80.82
2020-04-30,80.22
2020-05-04,80.0
2020-05-05,80.34
2020-05-06,80.67
2020-05-07,79.28
2020-05-08,82.25
2020-05-11,82.87
2020-05-12,84.04
2020-05-13,81.69
2020-05-14,80.89
2020-05-15,79.33
2020-05-18,84.34
2020-05-19,80.08
2020-05-20,81.52
2020-05-21,79.5
2020-05-22,80.35
2020-05-25,80.86
2020-05-26,80.95
2020-05-27,83.07
2020-05-28,82.56
2020-05-29,81.54
2020-06-01,83.24
2020-06-02,83.13
2020-06-03,84.68
2020-06-04,83.99
2020-06-05,87.0
2020-06-08,88.68
2020-06-09,87.15
2020-06-10,85.01
2020-06-11,80.95
2020-06-12,83.84
2020-06-15,82.96
2020-06-16,83.29
2020-06-17,81.71
2020-06-18,81.29
2020-06-19,83.22
2020-06-22,83.43
2020-06-23,82.69
2020-06-24,82.22
2020-06-25,81.04
2020-06-26,80.13
2020-06-29,81.24
2020-06-30,80.35
2020-07-01,79.9
2020-07-02,80.85
2020-07-03,81.21
2020-07-06,82.26
2020-07-07,80.47
2020-07-08,80.73
2020-07-09,77.94
2020-07-10,77.75
2020-07-13,77.32
