date,price
2019-03-07,74.6
2019-03-08,74.67
2019-03-11,75.48
2019-03-12,76.1
2019-03-13,76.07
2019-03-14,75.79
2019-03-15,77.16
2019-03-19,77.23
2019-03-20,78.67
2019-03-21,79.04
2019-03-22,76.5
2019-03-25,77.76
2019-03-26,77.95
2019-03-27,78.6
2019-03-28,77.73
2019-03-29,79.09
2019-04-01,80.59
2019-04-02,80.22
2019-04-03,78.99
2019-04-04,80.66
2019-04-05,82.02
2019-04-08,83.43
2019-04-09,81.88
2019-04-10,81.13
2019-04-11,79.79
2019-04-12,80.28
2019-04-15,79.73
2019-04-16,81.05
2019-04-17,82.58
2019-04-22,82.24
2019-04-23,81.63
2019-04-24,80.89
2019-04-25,79.8
2019-04-26,79.54
2019-04-29,78.46
2019-04-30,78.69
2019-05-02,76.72
2019-05-03,77.13
2019-05-06,76.97
2019-05-07,75.81
2019-05-08,74.97
2019-05-09,74.96
2019-05-10,74.59
2019-05-13,73.87
2019-05-14,73.7
2019-05-15,73.84
2019-05-16,73.84
2019-05-17,73.75
2019-05-20,73.15
2019-05-21,72.49
2019-05-22,71.68
2019-05-23,70.74
2019-05-24,70.39
2019-05-27,69.79
2019-05-28,68.25
2019-05-29,70.01
2019-05-30,71.45
2019-05-31,71.02
2019-06-03,71.5
2019-06-04,72.13
2019-06-05,72.26
2019-06-06,72.21
2019-06-07,73.0
2019-06-10,73.98
2019-06-11,73.79
2019-06-12,74.32
2019-06-13,74.1
2019-06-14,72.96
2019-06-17,72.34
2019-06-18,73.11
2019-06-19,72.81
2019-06-20,73.17
2019-06-21,72.95
2019-06-24,73.51
2019-06-25,73.6
2019-06-26,73.53
2019-06-27,72.66
2019-06-28,73.2
2019-07-01,73.63
2019-07-02,73.81
2019-07-03,73.39
2019-07-04,73.25
2019-07-05,72.65
2019-07-08,73.51
2019-07-09,71.1
2019-07-10,70.66
2019-07-11,70.4
2019-07-12,69.61
2019-07-15,69.0
2019-07-16,69.11
2019-07-17,67.06
2019-07-18,64.19
2019-07-19,64.7
2019-07-22,64.28
2019-07-23,64.31
2019-07-24,65.38
2019-07-25,66.06
2019-07-26,65.42
2019-07-29,65.65
2019-07-30,64.34
2019-07-31,64.15
2019-08-01,61.95
2019-08-02,60.41
2019-08-05,58.96
2019-08-06,58.22
2019-08-07,59.91
2019-08-08,60.27
2019-08-09,60.17
2019-08-12,58.15
2019-08-13,57.67
2019-08-14,56.42
2019-08-15,56.2
2019-08-16,56.67
2019-08-19,57.46
2019-08-20,58.88
2019-08-21,60.26
2019-08-22,60.26
2019-08-23,60.12
2019-08-26,60.23
2019-08-27,61.77
2019-08-28,63.39
2019-08-29,65.89
2019-08-30,67.4
2019-09-02,66.87
2019-09-03,65.82
2019-09-04,66.87
2019-09-05,67.86
2019-09-06,67.12
2019-09-09,67.34
2019-09-10,68.22
2019-09-11,67.9
2019-09-12,68.37
2019-09-13,68.28
2019-09-17,70.4
2019-09-18,69.58
2019-09-19,68.89
2019-09-20,69.88
2019-09-23,70.05
2019-09-24,69.25
2019-09-25,69.71
2019-09-26,69.07
2019-09-27,69.16
2019-09-30,68.83
2019-10-01,68.09
2019-10-02,65.19
2019-10-03,65.01
2019-10-04,66.92
2019-10-07,66.21
2019-10-08,65.89
2019-10-09,66.28
2019-10-10,67.62
2019-10-11,68.94
2019-10-14,69.04
2019-10-15,69.42
2019-10-16,70.15
2019-10-17,69.72
2019-10-18,69.42
2019-10-21,70.43
2019-10-22,70.34
2019-10-23,70.44
2019-10-24,69.17
2019-10-25,70.2
2019-10-28,71.13
2019-10-29,71.59
2019-10-30,70.8
2019-10-31,69.99
2019-11-01,70.63
2019-11-04,72.03
2019-11-05,72.04
2019-11-06,72.16
2019-11-07,72.61
2019-11-08,71.85
2019-11-11,71.29
2019-11-12,70.7
2019-11-13,70.69
2019-11-14,70.49
2019-11-15,71.09
2019-11-19,71.62
2019-11-20,70.85
2019-11-21,70.1
2019-11-22,70.59
2019-11-25,70.41
2019-11-26,70.63
2019-11-27,70.68
2019-11-28,70.78
2019-11-29,69.61
2019-12-02,69.83
2019-12-03,68.3
2019-12-04,67.31
2019-12-05,68.16
2019-12-06,66.94
2019-12-09,67.04
2019-12-10,67.84
2019-12-11,68.88
2019-12-13,71.13
2019-12-16,71.64
2019-12-17,71.52
2019-12-18,73.56
2019-12-19,72.98
2019-12-20,72.14
2019-12-23,71.34
2019-12-24,70.7
2019-12-26,71.69
2019-12-27,70.85
2019-12-30,69.52
2019-12-31,69.13
2020-01-02,71.06
2020-01-03,71.44
2020-01-06,70.65
2020-01-07,70.07
