date,price
2019-01-24,90.03
2019-01-25,89.95
2019-01-28,89.75
2019-01-29,89.15
2019-01-30,89.66
2019-01-31,90.74
2019-02-01,89.83
2019-02-05,90.86
2019-02-06,89.96
2019-02-07,88.91
2019-02-08,87.26
2019-02-11,87.35
2019-02-12,87.45
2019-02-13,86.17
2019-02-14,86.7
2019-02-15,86.68
2019-02-18,86.32
2019-02-19,86.79
2019-02-20,87.5
2019-02-21,88.42
2019-02-22,89.12
2019-02-25,89.99
2019-02-26,90.56
2019-02-27,90.1
2019-02-28,88.54
2019-03-01,87.29
2019-03-04,87.36
2019-03-05,86.45
2019-03-06,86.62
2019-03-07,85.25
2019-03-08,85.45
2019-03-11,85.53
2019-03-12,84.93
2019-03-13,84.19
2019-03-14,84.24
2019-03-15,85.53
2019-03-19,85.91
2019-03-20,86.55
2019-03-21,86.17
2019-03-22,84.05
2019-03-25,84.63
2019-03-26,85.09
2019-03-27,85.19
2019-03-28,85.38
2019-03-29,86.85
2019-04-01,86.81
2019-04-02,86.34
2019-04-03,87.08
2019-04-04,87.24
2019-04-05,89.1
2019-04-08,88.74
2019-04-09,88.56
2019-04-10,87.88
2019-04-11,87.32
2019-04-12,86.92
2019-04-15,86.95
2019-04-16,87.66
2019-04-17,88.47
2019-04-22,87.77
2019-04-23,87.52
2019-04-24,87.88
2019-04-25,88.46
2019-04-26,88.24
2019-04-29,85.76
2019-04-30,87.45
2019-05-02,86.8
2019-05-03,87.01
2019-05-06,86.56
2019-05-07,86.51
2019-05-08,86.15
2019-05-09,86.19
2019-05-10,86.28
2019-05-13,86.65
2019-05-14,87.02
2019-05-15,85.8
2019-05-16,85.36
2019-05-17,85.94
2019-05-20,86.6
2019-05-21,85.99
2019-05-22,85.71
2019-05-23,85.45
2019-05-24,85.02
2019-05-27,84.68
2019-05-28,84.89
2019-05-29,85.29
2019-05-30,85.96
2019-05-31,85.96
2019-06-03,85.24
2019-06-04,85.31
2019-06-05,86.81
2019-06-06,86.25
2019-06-07,87.67
2019-06-10,88.5
2019-06-11,90.13
2019-06-12,89.75
2019-06-13,89.72
2019-06-14,88.89
2019-06-17,87.84
2019-06-18,88.13
2019-06-19,88.76
2019-06-20,90.03
2019-06-21,89.9
2019-06-24,90.52
2019-06-25,90.32
2019-06-26,90.58
2019-06-27,89.52
2019-06-28,87.64
2019-07-01,87.22
2019-07-02,87.83
2019-07-03,87.74
2019-07-04,87.7
2019-07-05,87.76
2019-07-08,87.58
2019-07-09,87.6
2019-07-10,87.13
2019-07-11,86.61
2019-07-12,86.14
2019-07-15,86.91
2019-07-16,87.53
2019-07-17,86.14
2019-07-18,84.38
2019-07-19,84.24
2019-07-22,82.83
2019-07-23,81.73
2019-07-24,82.18
2019-07-25,82.44
2019-07-26,80.75
2019-07-29,82.77
2019-07-30,83.18
2019-07-31,81.74
2019-08-01,81.44
2019-08-02,80.57
2019-08-05,79.8
2019-08-06,78.69
2019-08-07,79.91
2019-08-08,79.91
2019-08-09,79.77
2019-08-12,78.63
2019-08-13,77.27
2019-08-14,74.15
2019-08-15,74.0
2019-08-16,75.5
2019-08-19,75.61
2019-08-20,75.99
2019-08-21,76.85
2019-08-22,76.86
2019-08-23,75.77
2019-08-26,76.58
2019-08-27,77.13
2019-08-28,77.11
2019-08-29,79.4
2019-08-30,81.41
2019-09-02,80.59
2019-09-03,79.35
2019-09-04,80.0
2019-09-05,81.12
2019-09-06,82.07
2019-09-09,81.45
2019-09-10,81.7
2019-09-11,81.89
2019-09-12,81.8
2019-09-13,82.28
2019-09-17,82.52
2019-09-18,82.39
2019-09-19,81.71
2019-09-20,83.75
2019-09-23,83.86
2019-09-24,82.89
2019-09-25,81.84
2019-09-26,82.01
2019-09-27,81.84
2019-09-30,82.89
2019-10-01,83.78
2019-10-02,82.74
2019-10-03,82.94
2019-10-04,84.11
2019-10-07,83.3
2019-10-08,83.35
2019-10-09,83.55
2019-10-10,84.39
2019-10-11,84.85
2019-10-14,85.2
2019-10-15,84.59
2019-10-16,84.98
2019-10-17,84.98
2019-10-18,84.51
2019-10-21,84.72
2019-10-22,84.69
2019-10-23,85.29
2019-10-24,85.94
2019-10-25,85.49
2019-10-28,87.45
2019-10-29,88.22
2019-10-30,87.78
2019-10-31,87.1
2019-11-01,87.67
2019-11-04,87.17
2019-11-05,87.47
